sid,source
893,"#include<stdio.h>
int main()
{
	int n,a,i,j,c,b[1000];
	scanf(""%d"",&n);
    for(i=0;i<n;i++)
		scanf(""%d"",&b[i]);
	for(i=0;i<n;i++){
		for(j=0;j<n-i-1;j++)
			if(b[j]<b[j+1])
			{
				c=b[j];
				b[j]=b[j+1];
				b[j+1]=c;
			}

	}
	for(i=0;i<2;i++)
	{
		if(i!=1)
	     	printf(""%d "",b[i]);
		else
			printf(""%d\n"",b[i]);
	}
	return 0;
}"
894,"#include<cstdio>
#include<cstring>

char s1[50],s2[50];
int num1[50],num2[50],num3[50];

int main()
{
	scanf(""%s%s"",s1,s2);
	for(int i=49,j=strlen(s1)-1;j>=0;num1[i]=s1[j]-'0',i--,j--);
	for(int i=49,j=strlen(s2)-1;j>=0;num2[i]=s2[j]-'0',i--,j--);
	for(int i=49;i>0;i--)
	{
		num3[i]+=num1[i]+num2[i];
		if(num3[i]>9)
		{
			num3[i-1]++;
			num3[i]-=10;
		}
	}
	for(int i=1;i<50;i++)
		if(num3[i])
		{
			for(int j=i;j<50;j++)
				printf(""%d"",num3[j]);
			printf(""\n"");
			break;
		}
	return 0;
}
"
895,"#include<iostream>
#include<cstdio>
using namespace std;
struct NBA
{
	char name[100];
	int year;
}nba[10000],temp;
int main()
{
	int n,i,j,k;
	cin>>n;
	for(i=0;i<n;i++)
	{
		cin>>nba[i].name;
		cin>>nba[i].year;
	}
	for(i=0;i<n-1;i++)
	{
		k=i;
		for(j=i+1;j<n;j++)
			if(nba[k].year>nba[j].year)k=j;
			if(k!=i)
			{
				temp=nba[i];
				nba[i]=nba[k];
				nba[k]=temp;
			}
	}
	for(i=0;i<n;i++)
		cout<<nba[i].year<<"" ""<<nba[i].name<<endl;
	return 0;
}

		"
896,"#include<iostream>
#include<string.h>
using namespace std;
#define MAX_LEN 101
int a1[MAX_LEN];
int a2[MAX_LEN];
char line1[MAX_LEN];
char line2[MAX_LEN];
int add(int max,int *a,int *b)
{
	int lastposion;
	for(int i=0;i<max;i++)
	{
		a[i]+=b[i];
		if(a[i]>10)
		{
			a[i]-=10;
			a[i+1]+=1;
		}

		if(a[i]!=0)
		{
			lastposion=i;
		}

		
	}
	return lastposion;
}





int main()
{
	int l1,l2,i,max;
	
	while(1)
	{ 
		memset(line1,0,sizeof(line1));
		memset(line2,0,sizeof(line2));
		cin>>line1;
		cin>>line2;
		
		l1=strlen(line1)-1;
		for( i=l1;i>=0;i--)
		{
			a1[l1-i]=line1[i]-'0';
		}

		l2=strlen(line2);
		for( i=l1;i>=0;i--)
		{
			a2[l1-i]=line2[i]-'0';
		}

		if(l1>l2)   max=l1;
		max=l2;

    int nHighestPos = add(max,a1,a2);	
	for( i = nHighestPos; i >= 0; i -- ) 
		cout<<a1[i];
	cout<<endl;
	
	}
	return 0;
}
"
897,"#include<iostream>
#include<stdio.h>
#include<string.h>
#define MAX 10001
using namespace std;
int jia(int *dif,int *a,int *b,int a_len,int b_len)
{
 int i,t;
  memset(dif,0,sizeof(dif));
 int dif_len=a_len;
 if(a_len<b_len||(a_len==b_len&&a[a_len]<b[b_len])) 
 {	 dif_len=b_len;
	  for(i=1;i<=dif_len;i++)
	 { t=a[i];
	    a[i]=b[i];
		b[i]=t;
	 }
  }
  
 for(i=1;i<=dif_len;i++)
 {
	 dif[i]=a[i]-b[i];
 if(dif[i]<0)
 {
	 dif[i]=a[i]+10-b[i];
     a[i+1]-=1;
 
 }
 }
 return dif_len;
}


int main(int argc,char *argv[])
{
int a[MAX]={0},b[MAX]={0},dif[MAX]={0};
int a_len=0,b_len=0,dif_len=0;
int i,j;
char c_a[MAX],c_b[MAX];
while(cin>>c_a>>c_b)
{
	a_len=strlen(c_a);
    b_len=strlen(c_b);
   for(i=1,j=a_len-1;i<= a_len;i++,j--)
     a[i]=c_a[j]-'0'; 
   for(i=1,j=b_len-1;i<= b_len;i++,j--)
     b[i]=c_b[j]-'0';
 
 dif_len=jia(dif,a,b,a_len,b_len) ;
 if(a_len<b_len||(a_len==b_len&&a[a_len]<b[b_len])) cout<<'-';
 for(i=dif_len;i>=1;i--)
   cout<<dif[i];
 cout<<endl;

}
 return 0;
}"
898,"#include <stdio.h>
#include <string.h>
#define MAX_LEN 201
int an1[MAX_LEN+10];
int an2[MAX_LEN+10];
char szLine1[MAX_LEN+10];
char szLine2[MAX_LEN+10];
int Add(int nMaxLen , int * an1, int * an2)
   //将长度最多为 nMaxLen 的大整数 an1和an2 相加，结果放在an1, 
   //an1[0],an2[0]对应于个位
{
	int nHighestPos = 0;
	for(int i = 0;i < nMaxLen; i ++ ) {	
		an1[i] += an2[i];		//逐位相加
		if( an1[i] >= 10 ) {		//看是否要进位	
			an1[i] -= 10;
			an1[i+1] ++;	//进位
		}
		if( an1[i] !=0 )
			nHighestPos = i; //记录最高位的位置
	}
	return nHighestPos;
}
int main()   {
	scanf(""%s"", szLine1);  scanf(""%s"", szLine2);
	int i, j;
	//库函数memeset将地址an1开始的sizeof(an1)字节内容置成0
	//sizeof(an1)的值就是an1的长度
	//memset函数在string.h中声明
	memset( an1, 0, sizeof(an1));	
	memset( an2, 0, sizeof(an2));
	//下面将szLine1中存储的字符串形式的整数转换到an1中去，
	//an1[0]对应于个位
	int nLen1 = strlen( szLine1);
	for(j =0, i = nLen1 - 1;i >= 0 ; i --)
		an1[j++] = szLine1[i] - '0';	
	int nLen2 = strlen(szLine2);
	for(j=0, i = nLen2 - 1;i >= 0 ; i --)
		an2[j++] = szLine2[i] - '0';
	int nHighestPos = Add(MAX_LEN,an1,an2);	
	for( i = nHighestPos; i >= 0; i -- )  printf(""%d"", an1[i]);
	return 0;
}
"
899,"#include<stdio.h>
int main()
{
	int a,n,i=0,max=0,sed=0;
	while(scanf(""%d"",&n)!=EOF)
	{
		i=0;max=0;
		while(i<n)
		{
			scanf(""%d"",&a);
			if(a>max)
			{
				sed=max;
				max=a;
			}
			if(a<max&&a>sed)
				sed=a;
			i++;
		}
		printf(""%d %d\n"",max,sed);
	}
    return 0;
} "
900,"#include<stdio.h>
#include<string.h>
int main(){
	char a[101],b[101],i;
	int a1[101]={0},b1[101]={0},n,n1,n2;
    while(gets(a)&&gets(b)){
		n1=strlen(a);
		n2=strlen(b);
	for(i=0;i<n1;i++)
        a1[i]=a[i]-'0';
	for(i=0;i<n2;i++)
        b1[i]=b[i]-'0';
    if(n1>=n2)
		n=n1;
	else n=n2;
	for(i=0;i<n;i++)
	{
			a1[i]+=b1[i];
			if(a1[i]>=10)
			{
				a1[i]=a1[i]-10;
				a1[i+1]++;
			}
	}
   
   for(i=0;i<=n-1;i++)
			printf(""%d"",a1[i]);
   if(a1[n]!=0)
			printf(""%d"",a1[n]);
	}
	return 0;
}
		

"
901,"#include<stdio.h>
int main()
{
	int n,k,a,i,j,c,b[1000];
	scanf(""%d %d"",&n,&k);
    for(i=0;i<n;i++)
		scanf(""%d"",&b[i]);
	for(i=0;i<n;i++){
		for(j=0;j<n-i-1;j++)
			if(b[j]<b[j+1])
			{
				c=b[j];
				b[j]=b[j+1];
				b[j+1]=c;
			}

	}
	for(i=0;i<k;i++)
	{
		if(i!=k-1)
	     	printf(""%d "",b[i]);
		else
			printf(""%d\n"",b[i]);
	}
	return 0;
}

"
902,"#include<iostream>
using namespace std;

int gcd(int a,int b)
{
	int m=a>b?a:b,n=a<b?a:b,r;
	while(n)
	{
		r=m%n;
		m=n;
		n=r;
	}
	return m;
}

int main()
{
	int n;
	cin>>n;
	while(n--)
	{
		int a,b;
		cin>>a>>b;
		cout<<gcd(a,b)<<endl;
	}
	return 0;
}
"
903,"#include<iostream>
using namespace std;

int gcd(int a,int b)
{
	int m=a>b?a:b,n=a<b?a:b,r;
	while(n)
	{
		r=m%n;
		m=n;
		n=r;
	}
	return m;
}

int main()
{
	int n;
	cin>>n;
	while(n--)
	{
		int a,b;
		cin>>a>>b;
		cout<<a*b/gcd(a,b)<<endl;
	}
	return 0;
}
"
904,"#include<iostream>
using namespace std;
int main()
{
   int x,j,i,count;
   int a[10000]={0};
   while(cin>>x){
	   a[1]=1;
	   count=1;
       for( i=2;i<=x;i++){
		   int t=0;int temp;
		   for( j=1;j<=count;j++){
		      temp=a[j]*9+t;
			  t=temp/10;
			  a[j]=temp%10;
		   }  //将大数的每一位乘以9
		   count++; //加上10的n-1次放
		   if(t>0)
		      a[count]=t+1;
		   else
			  a[count]=1;
	   }
	   for(i=count;i>=1;i--)
		   cout<<a[i];
   }
   return 0;
}"
905,"#include<stdio.h>
#include<string.h>
int main()
{
	int i,j,k,a;
	char str1[201],str2[200],temp;
	scanf(""%s"",str1);
	scanf(""%s"",str2);
	i=strlen(str1);
	a=i-1;
	j=strlen(str2);
	for(k=0;k<i/2;k++,a--)
	{
		temp=str1[k];
		str1[k]=str1[a];
		str1[a]=temp;
	}
	a=j-1;
	for(k=0;k<j/2;k++,a--)
	{
		temp=str2[k];
		str2[k]=str2[a];
		str2[a]=temp;
	}
	a=i;
	if(i<j)
		a=j;
	for(k=0;k<a;k++)
	{
		if((str1[k]+str2[k]-48)>'10')
		{
			str1[k+1]+=49;
			str1[k]=str1[k]+str2[k]-'10';
		}
		else
			str1[k]=str1[k]+str2[k]-48;
	}
	for(;k>0;k--)
	{
		printf(""%c"",str1[k-1]);
	}
	printf(""\n"");
	return 0;
}"
906,"#include<iostream>
using namespace std;

int gcd(int a,int b)
{
	int m=a>b?a:b,n=a<b?a:b,r;
	while(n)
	{
		r=m%n;
		m=n;
		n=r;
	}
	return m;
}

int main()
{
	int n;
	cin>>n;
	while(n--)
	{
		int a,b,c;
		cin>>a>>b>>c;
		cout<<gcd(a,gcd(b,c))<<endl;
	}
	return 0;
}
"
907,"#include<iostream>
using namespace std;

int gcd(int a,int b)
{
	int m=a>b?a:b,n=a<b?a:b,r;
	while(n)
	{
		r=m%n;
		m=n;
		n=r;
	}
	return m;
}

int main()
{
	int n;
	cin>>n;
	while(n--)
	{
		int a,b,c;
		cin>>a>>b>>c;
		cout<<gcd(a,gcd(b,c))<<endl;
	}
	return 0;
}
"
908,"#include <iostream>
#include <vector>
#include <algorithm>
#include <ctime>
#include <cstdlib>
using namespace std;
int main()
{
	vector<int>::const_iterator iter;
	vector<int> px;
	int i,n,temp;
	cin>>n;
	for(i=1;i<=10;i++)
	{
		cin>>temp;
		px.push_back(temp);
	}
	sort(px.begin(),px.end());
	for(i=0;i<px.size()-1;i++)
	{
			cout<<px[i]<<"" "";

	}
	cout<<px[px.size()-1]<<endl;
	return 0;
}
"
909,"#include<iostream>
using namespace std;
int main()
{
   int x,j,i,count;
   int a[10000]={0};
   while(cin>>x){
	   a[1]=1;
	   count=1;
       for( i=2;i<=x;i++){
		   int t=0;int temp;
		   for( j=1;j<=count;j++){
		      temp=a[j]*9+t;
			  t=temp/10;
			  a[j]=temp%10;
		   }  //将大数的每一位乘以9
		   count++; //加上10的n-1次放
		   if(t>0)
		      a[count]=t+1;
		   else
			  a[count]=1;
	   }
	   for(i=count;i>=1;i--)
		   cout<<a[i];
	   cout<<endl;
   }
   return 0;
}"
910,"#include<iostream>
#include<string.h>
using namespace std;
#define MAX_LEN 101
int a1[MAX_LEN];
int a2[MAX_LEN];
char line1[MAX_LEN];
char line2[MAX_LEN];
int add(int max,int *a,int *b)
{
	int lastposion;
	for(int i=0;i<max;i++)
	{
		a[i]+=b[i];
		if(a[i]>10)
		{
			a[i]-=10;
			a[i+1]+=1;
		}

		if(a[i]!=0)
		{
			lastposion=i;
		}

		
	}
	return lastposion;
}





int main()
{
	int l1,l2,i,max;
	memset(line1,0,sizeof(line1));
		memset(line2,0,sizeof(line2));
	while(cin>>line1>>line2)
	{ 
		
		
		
		
		l1=strlen(line1)-1;
		for( i=l1;i>=0;i--)
		{
			a1[l1-i]=line1[i]-'0';
		}

		l2=strlen(line2);
		for( i=l1;i>=0;i--)
		{
			a2[l1-i]=line2[i]-'0';
		}

		if(l1>l2)   max=l1;
		max=l2;

    int nHighestPos = add(max,a1,a2);	
	for( i = nHighestPos; i >= 0; i -- ) 
		cout<<a1[i];
	cout<<endl;
	memset(line1,0,sizeof(line1));
	memset(line2,0,sizeof(line2));
	
	}
	return 0;
}
"
911,"#include<iostream>
#include<string>
using namespace std;
int main()
{
	string a,b,sum;
	int num1[1000]={0},num2[1000]={0};
	int length1,length2;
	int i,j,temp;
	int max;
	while(cin>>a>>b)
	{
		temp=0;
		
		length1=a.length();
		length2=b.length();
		max=length1>length2?length1:length2;
		for(i=0;i<length1;i++)
		{
			num1[i]=a[length1-i-1]-'0';
		}
		for(i=0;i<length2;i++)
		{
			num2[i]=b[length2-i-1]-'0';
		}
		for(i=0;i<max;i++)
		{
			num1[i]+=num2[i];
			num1[i]+=temp;	
			temp=num1[i]/10;
			num1[i]%=10;
		}
		for(i=max;i>=0;i--)
			if(num1[i]!=0)
			{
				j=i;
				break;
			}
		for(i=j;i>=0;i--)
		{
			cout<<num1[i];
		}
		cout<<endl;


	}
	return 0;
}"
912,"#include<stdio.h>
#include<string.h>
int main(){
	char a[101],b[101],i;
	int a1[101]={0},b1[101]={0},n,n1,n2;
    while(gets(a)&&gets(b)){
		n1=strlen(a);
		n2=strlen(b);
	for(i=0;i<n1;i++)
        a1[i]=a[i]-'0';
	for(i=0;i<n2;i++)
        b1[i]=b[i]-'0';
    if(n1>=n2)
		n=n1;
	else n=n2;
	for(i=0;i<n;i++)
	{
			a1[i]+=b1[i];
			if(a1[i]>=10)
			{
				a1[i]=a1[i]-10;
				a1[i+1]++;
			}
	}
   
   for(i=0;i<=n-1;i++)
			printf(""%d"",a1[i]);
   if(a1[n]!=0)
			printf(""%d\n"",a1[n]);
   else printf(""\n"");
	}
	return 0;
}
		

"
913,"#include <iostream>
#include <vector>
#include <algorithm>
#include <ctime>
#include <cstdlib>
using namespace std;
int main()
{
	vector<int>::const_iterator iter;
	vector<int> px;
	int i,n,temp;
	cin>>n;
	for(i=1;i<=n;i++)
	{
		cin>>temp;
		px.push_back(temp);
	}
	sort(px.begin(),px.end());
	for(i=0;i<px.size()-1;i++)
	{
			cout<<px[i]<<"" "";

	}
	cout<<px[px.size()-1]<<endl;
	return 0;
}
"
914,"#include<iostream>
#include<cmath>
using namespace std;

bool isprime(int x)
{
	double lim=sqrt(x);
	for(int i=2;i<=lim;i++)
		if(x%i==0)
			return false;
	return true;
}

int main()
{
	int n;
	while(cin>>n)
		if(isprime(n))
			cout<<""Yes""<<endl;
		else
			cout<<""No""<<endl;
	return 0;
}
"
915,"#include<iostream>
#include<cmath>
using namespace std;

bool prime[1000];

bool isprime(int x)
{
	double lim=sqrt(x);
	for(int i=2;i<=lim;i++)
		if(x%i==0)
			return false;
	return true;
}

int main()
{
	for(int i=2;i<1000;i++)
		if(isprime(i))
			prime[i]=true;
	int n;
	while(cin>>n)
	{
		int sum=0;
		for(int i=2;i<n;i++)
			if(prime[i])
				sum+=i;
		cout<<sum<<endl;
	}
	return 0;
}
"
916,"#include<iostream>
#include<string>
using namespace std;

#define MAX 101
char line1[MAX];
char line2[MAX];
int a[MAX];
int b[MAX];

int add(int maxlen,int *a,int *b){
	int high = 0;
	for(int i = 0;i < maxlen;i++){
		a[i] += b[i];
		while(a[i] >= 10){
			a[i] -= 10;
			a[i+1] ++;
		}
		if(a[i] != 0)
			high = i;
	}
	return high;
}
int main(){
	int len1,len2;
	int maxlen;
	int high;
	while(1){
		cin>>line1;
		cin>>line2;
		len1 = strlen(line1);
		len2 = strlen(line2);
		int i = 0;
		while(line1[i] != '\0'){
			a[len1 - i-1] = int(line1[i] - '0');
			i++;
		}
		i = 0;
		while(line2[i] != '\0'){
			b[len2 - i-1] = int(line2[i] - '0');
			i++;
		}
		maxlen = len1>len2 ? len1:len2;
		high = add(maxlen,a,b);
		for(int i = 0;i <= high;i++)
			cout<<a[high-i];
	}

	return 0;

}

"
917,"#include<iostream>
#include<string.h>
using namespace std;

#define MAX 101
char line1[MAX];
char line2[MAX];
int a[MAX];
int b[MAX];

int add(int maxlen,int *a,int *b){
	int high = 0;
	for(int i = 0;i < maxlen;i++){
		a[i] += b[i];
		while(a[i] >= 10){
			a[i] -= 10;
			a[i+1] ++;
		}
		if(a[i] != 0)
			high = i;
	}
	return high;
}
int main(){
	int len1,len2;
	int maxlen;
	int high;
	while(1){
		cin>>line1;
		cin>>line2;
		len1 = strlen(line1);
		len2 = strlen(line2);
		int i = 0;
		while(line1[i] != '\0'){
			a[len1 - i-1] = int(line1[i] - '0');
			i++;
		}
		i = 0;
		while(line2[i] != '\0'){
			b[len2 - i-1] = int(line2[i] - '0');
			i++;
		}
		maxlen = len1>len2 ? len1:len2;
		high = add(maxlen,a,b);
		for(int i = 0;i <= high;i++)
			cout<<a[high-i];
	}

	return 0;

}


"
918,"#include<iostream>
#include<string.h>
using namespace std;

#define MAX 101
char line1[MAX];
char line2[MAX];
int a[MAX];
int b[MAX];

int add(int maxlen,int *a,int *b){
	int high = 0;
	for(int i = 0;i < maxlen;i++){
		a[i] += b[i];
		while(a[i] >= 10){
			a[i] -= 10;
			a[i+1] ++;
		}
		if(a[i] != 0)
			high = i;
	}
	return high;
}
int main(){
	int len1,len2;
	int maxlen;
	int high;
	while(cin>>line1>>line2){
		//cin>>line1;
		//cin>>line2;
		len1 = strlen(line1);
		len2 = strlen(line2);
		int i = 0;
		while(line1[i] != '\0'){
			a[len1 - i-1] = int(line1[i] - '0');
			i++;
		}
		i = 0;
		while(line2[i] != '\0'){
			b[len2 - i-1] = int(line2[i] - '0');
			i++;
		}
		maxlen = len1>len2 ? len1:len2;
		high = add(maxlen,a,b);
		for(int i = 0;i <= high;i++)
			cout<<a[high-i];
	}

	return 0;

}

"
919,"#include<iostream>
#include<string.h>
using namespace std;
#define MAX_LEN 101
int a1[MAX_LEN];
int a2[MAX_LEN];
char line1[MAX_LEN];
char line2[MAX_LEN];
int add(int max,int *a,int *b)
{
	int lastposion;
	for(int i=0;i<max;i++)
	{
		a[i]-=b[i];
		if(a[i]<0)
		{
			a[i]+=10;
			a[i+1]-=1;
		}

		if(a[i]!=0)
		{
			lastposion=i;
		}

		
	}
	return lastposion;
}





int main()
{
	int l1,l2,i,max;
	memset(line1,0,sizeof(line1));
	memset(line2,0,sizeof(line2));


	while(cin>>line1>>line2)
	{ 
		
		
		
		
		l1=strlen(line1)-1;
		for( i=l1;i>=0;i--)
		{
			a1[l1-i]=line1[i]-'0';
		}

		l2=strlen(line2);
		for( i=l1;i>=0;i--)
		{
			a2[l1-i]=line2[i]-'0';
		}

		if(l1>l2)   max=l1;
		max=l2;

    int nHighestPos = add(max,a1,a2);	
	for( i = nHighestPos; i >= 0; i -- ) 
		cout<<a1[i];
	cout<<endl;
	memset(line1,0,sizeof(line1));
	memset(line2,0,sizeof(line2));
	
	}
	return 0;
}

"
920,"#include<iostream>
using namespace std;

int a[10000];

int main()
{
	int N,n;
	cin>>N;
	while(N--)
	{
		cin>>n;
		int i=0;
		while(n)
		{
			a[i++]=n%8;
			n/=8;
		}
		for(int j=i-1;j>=0;cout<<a[j],j--);
		cout<<endl;
	}
	return 0;
}
"
921,"#include<iostream>
#include<string.h>
using namespace std;

#define MAX 101
char line1[MAX];
char line2[MAX];
int a[MAX];
int b[MAX];

int add(int maxlen,int *a,int *b){
	int high = 0;
	for(int i = 0;i < maxlen;i++){
		a[i] += b[i];
		while(a[i] >= 10){
			a[i] -= 10;
			a[i+1] ++;
		}
		if(a[i] != 0)
			high = i;
	}
	return high;
}
int main(){
	int len1,len2;
	int maxlen;
	int high;
	while(cin>>line1>>line2){
		//cin>>line1;
		//cin>>line2;
		len1 = strlen(line1);
		len2 = strlen(line2);
		int i = 0;
		while(line1[i] != '\0'){
			a[len1 - i-1] = int(line1[i] - '0');
			i++;
		}
		i = 0;
		while(line2[i] != '\0'){
			b[len2 - i-1] = int(line2[i] - '0');
			i++;
		}
		maxlen = len1>len2 ? len1:len2;
		high = add(maxlen,a,b);
		for(int i = 0;i <= high;i++)
			cout<<a[high-i];
		cout<<endl;
	}
	return 0;
}

"
922,"#include<stdio.h>
#include<string.h>
int main()
{
	int i,j,k,a;
	char str1[201],str2[200],temp;
	while((scanf(""%s"",str1))!=EOF)
	{
		scanf(""%s"",str2);
		i=strlen(str1);
		a=i-1;
		j=strlen(str2);
		for(k=0;k<i/2;k++,a--)
		{
			temp=str1[k];
			str1[k]=str1[a];
			str1[a]=temp;
		}
		a=j-1;
		for(k=0;k<j/2;k++,a--)
		{
			temp=str2[k];
			str2[k]=str2[a];
			str2[a]=temp;
		}
		a=i;
		if(i<j)
			a=j;
		for(k=0;k<a;k++)
		{
			if((str1[k]+str2[k]-48)>58)
			{
				str1[k+1]++;
				str1[k]=str1[k]+str2[k]-58;
			}
			else
				str1[k]=str1[k]+str2[k]-48;
		}
		for(;k>0;k--)
		{
			printf(""%c"",str1[k-1]);
		}
		printf(""\n"");
	}
	return 0;
}"
923,"#include<iostream>
using namespace std;
#include <stdio.h>
#include <string.h>
#include <stdlib.h>
#include <memory.h>
#define MAX 10001
int high_precision(int *sum,int *a,int *b,int a_len,int b_len)
{
 int i,j;
 memset(sum,0,sizeof(sum));
 int sum_len = 0 ;
 for(i=1;i<=a_len;i++) 
   for(j=1,sum_len=i-1;j<=b_len;j++)
   sum[++sum_len]+=b[j]*a[i];
  
 for(i=1;i<=sum_len;i++)//进位
   if(sum[i]>=10)
        {
	   if(sum[sum_len]>=10)
         sum_len++;
         sum[i+1]+=sum[i]/10;
         sum[i]%=10;
   }
 return sum_len;
}


int main(int argc,char *argv[])
{
int a[MAX]={0},b[MAX]={0},sum[MAX*2]={0};
int a_len=0,b_len=0,sum_len=0;
int i,j;
char c_a[MAX],c_b[MAX],c_sum[MAX*2];
while(cin>>c_a>>c_b)
{
	a_len=strlen(c_a);
    b_len=strlen(c_b);
   for(i=1,j=a_len-1;i<= a_len;i++,j--)
     a[i]=c_a[j]-'0'; //将字符变量变为数值，并倒转
   for(i=1,j=b_len-1;i<= b_len;i++,j--)
     b[i]=c_b[j]-'0';
 sum_len=high_precision(sum,a,b,a_len,b_len) ;
 
 for(i=sum_len;i>=1;i--)
    printf(""%d"",sum[i]);
 putchar('\n');
 }
   return 0 ;

}"
924,"#include<iostream>
#include<string>
using namespace std;
int main()
{
	string a,b,sum;
	int num1[1000]={0},num2[1000]={0};
	int length1,length2;
	int i,j,temp;
	int max;
	while(cin>>a>>b)
	{
		temp=0;
		
		length1=a.length();
		length2=b.length();
		max=length1>length2?length1:length2;
		for(i=0;i<length1;i++)
		{
			num1[i]=a[length1-i-1]-'0';
		}
		for(i=0;i<length2;i++)
		{
			num2[i]=b[length2-i-1]-'0';
		}
		for(i=0;i<max;i++)
		{
			num1[i]-=num2[i];
			num1[i]-=temp;	
			if(num1[i]<0)
			{
				num1[i]+=10;
				temp=1;
			}
		}
		for(i=max;i>=0;i--)
			if(num1[i]!=0)
			{
				j=i;
				break;
			}
		for(i=j;i>=0;i--)
		{
			cout<<num1[i];
		}
		cout<<endl;


	}
	return 0;
}"
925,"#include<stdio.h>
#include<string.h>
#define MAX_LEN 110
int an1[MAX_LEN+10];
int an2[MAX_LEN+10];
char szLine1[MAX_LEN+10];
char szLine2[MAX_LEN+10];
int Add(int nMAXLen,int *an1,int *an2){
	int nHighestPos=0;
	for(int i=0;i<nMAXLen;i++){
		an1[i]+=an2[i];
		if(an1[i]>=10){
			an1[i]-=10;
			an1[i+1]++;
		}
		if(an1[i])
			nHighestPos=i;
	}
	return nHighestPos;
}
int main(){
	int j,i;
	scanf(""%s %s"",szLine1,szLine2);
	memset(an1,0,sizeof(an1));memset(an2,0,sizeof(an2));
	int nLen1 = strlen( szLine1);
	for(j=0,i=nLen1-1;i>=0;i--)
		an1[j++]=szLine1[i]-'0';
	int nLen2=strlen(szLine2);
	for(j=0,i =nLen2 -1;i>=0;i --)
		an2[j++] = szLine2[i] - '0';
	int nHighestPos =Add(MAX_LEN,an1,an2);
	for( i=nHighestPos;i>=0;i--) 
		printf(""%d"", an1[i]);
	printf(""\n"");
return 0;
}"
926,"import java.util.*;
import java.math.*;
public class Main {

	/**
	 * @param args
	 */
	public static void main(String[] args) {
		// TODO Auto-generated method stub
		Scanner sc = new Scanner(System.in);
		while(sc.hasNext())//相当于c中Scanf("""", !=EOF）
		{
		BigInteger big1 = sc.nextBigInteger();
		BigInteger big2 = sc.nextBigInteger();
		BigInteger sum;
		sum = big1.add(big2);
		System.out.println(sum);
		}
	}

}
"
927,"#include<stdio.h>
#include<string.h>
#define MAX_LEN 201
int an1[MAX_LEN+10];
int an2[MAX_LEN+10];
char szLine1[MAX_LEN+10];
char szLine2[MAX_LEN+10];
int Add(int nMaxlen,int * an1,int * an2)
 
{
	int nHighestPos=0;
	for(int i=0;i<nMaxlen;i++){
		an1[i]+=an2[i];
		if(an1[i]>=10){
			an1[i]-=10;
			an1[i+1]++;
			}
			if(an1[i]!=0)
				nHighestPos=i;
		}
		return nHighestPos;
}
int main()
{
	int a,b;
	while((scanf(""%d%d"",&a,&b))!=EOF){
    int Add(int nMaxlen,int * a,int * b);
	printf(""%d\n"",a+b);}
	return 0;
}"
928,"#include<iostream>
using namespace std;
#include <stdio.h>
#include <string.h>
#include <stdlib.h>
#include <memory.h>
#define MAX 10001
int high_precision(int *sum,int *a,int *b,int a_len,int b_len)
{
 int i,j;
 memset(sum,0,sizeof(sum));
 int sum_len = 0 ;
 for(i=1;i<=a_len;i++) 
   for(j=1,sum_len=i-1;j<=b_len;j++)
   sum[++sum_len]+=b[j]*a[i];
  
 for(i=1;i<=sum_len;i++)//进位
   if(sum[i]>=10)
        {
	   if(sum[sum_len]>=10)
         sum_len++;
         sum[i+1]+=sum[i]/10;
         sum[i]%=10;
   }
 return sum_len;
}


int main(int argc,char *argv[])
{
int a[MAX]={0},b[MAX]={0},sum[MAX*2]={0};
int a_len=0,b_len=0,sum_len=0;
int i,j;
char c_a[MAX],c_b[MAX];
while(cin>>c_a>>c_b)
{
	a_len=strlen(c_a);
    b_len=strlen(c_b);
   for(i=1,j=a_len-1;i<= a_len;i++,j--)
     a[i]=c_a[j]-'0'; //将字符变量变为数值，并倒转
   for(i=1,j=b_len-1;i<= b_len;i++,j--)
     b[i]=c_b[j]-'0';
 sum_len=high_precision(sum,a,b,a_len,b_len) ;
 
 for(i=sum_len;i>=1;i--)
    printf(""%d"",sum[i]);
 putchar('\n');

}
   return 0 ;

}"
929,"#include<stdio.h>
int main()
{
	int a,n,i,j,b[1000],k,t;
	while(scanf(""%d %d"",&n,&k)!=EOF)
	{
		i=0;j=0;
		while(i<n)
		{
			scanf(""%d"",&a);
				b[i++]=a;
		}
		for(i=0;i<n-1;i++)
			for(j=0;j<n-i;j++)
			{
				if(b[j]<b[j+1])
				{
					t=b[j];
					b[j]=b[j+1];
					b[j+1]=t;
				}
			}
		for(i=0;i<k;i++)
		{
			if(i<k-1)
				printf(""%d "",b[i]);
			else
				printf(""%d\n"",b[i]);
		}
	}
    return 0;
} "
930,"#include<iostream>
using namespace std;

int mat[100][100],n;

int main()
{
	cin>>n;
	mat[1][n]=1;
	int dir=1,num=1,i=1,j=n;
	while(num<n*n)
	{
		int prei=i,prej=j;
		switch(dir)
		{
			case 1:
				i++;
				break;
			case 2:
				j--;
				break;
			case 3:
				i--;
				break;
			default:
				j++;
		}
		if(mat[i][j]||i<1||i>n||j<1||j>n)
		{
			i=prei,j=prej;
			dir++;
			if(dir==5)
				dir=1;
		}
		else
		{
			num++;
			mat[i][j]=num;
		}
	}
	for(int i=1;i<=n;i++)
	{
		for(int j=1;j<n;cout<<mat[i][j]<<"" "",j++);
		cout<<mat[i][n]<<endl;
	}
	return 0;
}
"
